"","Trump","Clinton","Other","Undecided","poll_slug","survey_house","start_date","end_date","question_text","sample_subpopulation","observations","margin_of_error","mode","partisanship","partisan_affiliation"
"27",44,50,6,NA,"upi-cvoter-26076","UPI/CVOTER",2016-10-03,2016-10-09,NA,"Likely Voters",1350,NA,"Internet","Nonpartisan","None"
"28",44,51,NA,5,"nbc-surveymonkey-26017","NBC/SurveyMonkey",2016-10-03,2016-10-09,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",23329,1,"Internet","Nonpartisan","None"
"29",41,45,NA,14,"politico-morning-consult-26013","Politico/Morning Consult",2016-10-08,2016-10-08,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Likely Voters",1390,3,"Internet","Nonpartisan","None"
"30",37,44,9,9,"ipsos-reuters-25960","Ipsos/Reuters",2016-09-29,2016-10-03,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1239,3.2,"Internet","Nonpartisan","None"
"31",39,46,NA,16,"morning-consult-25827","Morning Consult",2016-09-30,2016-10-02,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Likely Voters",1778,2,"Internet","Nonpartisan","None"
"32",40,50,5,6,"fairleigh-dickinson-ssrs-25961","Fairleigh Dickinson/SSRS",2016-09-28,2016-10-02,"If the election for president was held today, and the choices were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Likely Voters",788,4.4,"Live Phone","Nonpartisan","None"
"33",43,49,4,5,"cbs-times-25894","CBS/Times",2016-09-28,2016-10-02,NA,"Likely Voters",1217,4,"Live Phone","Nonpartisan","None"
"34",44,50,NA,6,"nbc-surveymonkey-25895","NBC/SurveyMonkey",2016-09-26,2016-10-02,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",26925,1,"Internet","Nonpartisan","None"
"35",49,47,4,NA,"upi-cvoter-25834","UPI/CVOTER",2016-09-26,2016-10-02,NA,"Likely Voters",1285,3,"Internet","Nonpartisan","None"
"36",38,42,8,12,"ipsos-reuters-25794","Ipsos/Reuters",2016-09-27,2016-09-28,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1336,3.1,"Internet","Nonpartisan","None"
"37",41,45,NA,14,"morning-consult-25787","Morning Consult",2016-09-26,2016-09-27,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Likely Voters",1253,3,"Internet","Nonpartisan","None"
"38",38,44,7,10,"ipsos-reuters-25788","Ipsos/Reuters",2016-09-22,2016-09-26,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1041,3.5,"Internet","Nonpartisan","None"
"39",44,51,NA,6,"nbc-surveymonkey-25719","NBC/SurveyMonkey",2016-09-19,2016-09-25,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",13598,1.1,"Internet","Nonpartisan","None"
"40",47,48,5,NA,"upi-cvoter-25668","UPI/CVOTER",2016-09-19,2016-09-25,NA,"Likely Voters",1052,3,"Internet","Nonpartisan","None"
"41",42,44,NA,4,"morning-consult-25644","Morning Consult",2016-09-22,2016-09-24,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Likely Voters",1712,2,"Internet","Nonpartisan","None"
"42",46,46,3,4,"bloomberg-selzer-25650","Bloomberg/Selzer",2016-09-21,2016-09-24,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?","Likely Voters",1002,NA,"Live Phone","Nonpartisan","None"
"43",44,47,5,5,"arg-25604","ARG",2016-09-17,2016-09-20,"If the election for president were being held today between Hillary Clinton, the Democrat, and Donald Trump, the Republican, for whom would you vote - Clinton or Trump?","Registered Voters",990,3.2,"Live Phone","Nonpartisan","None"
"44",41,48,9,2,"mcclatchy-marist-25630","McClatchy/Marist",2016-09-15,2016-09-20,"If November's presidential election were held today, whom would you support if the candidates are:","Likely Voters",758,3.6,"Live Phone","Nonpartisan","None"
"45",39,39,10,11,"ipsos-reuters-25593","Ipsos/Reuters",2016-09-15,2016-09-19,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1111,3.4,"Internet","Nonpartisan","None"
"46",47,48,5,NA,"upi-cvoter-25594","UPI/CVOTER",2016-09-12,2016-09-18,NA,"Likely Voters",1203,3,"Internet","Nonpartisan","None"
"47",45,50,NA,6,"nbc-surveymonkey-25535","NBC/SurveyMonkey",2016-09-12,2016-09-18,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Likely Voters",13230,1.2,"Internet","Nonpartisan","None"
"48",42,46,NA,12,"morning-consult-25522","Morning Consult",2016-09-15,2016-09-16,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Likely Voters",1639,2,"Internet","Nonpartisan","None"
"49",44,46,5,4,"cbs-times-25495","CBS/Times",2016-09-09,2016-09-13,NA,"Likely Voters",1433,NA,"Live Phone","Nonpartisan","None"
"50",43,48,3,6,"quinnipiac-25492","Quinnipiac",2016-09-08,2016-09-13,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?","Likely Voters",960,3.2,"Live Phone","Nonpartisan","None"
"51",39,40,9,11,"ipsos-reuters-25486","Ipsos/Reuters",2016-09-08,2016-09-12,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1127,NA,"Internet","Nonpartisan","None"
"52",44,48,NA,8,"nbc-surveymonkey-25466","NBC/SurveyMonkey",2016-09-05,2016-09-11,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",16220,1.1,"Internet","Nonpartisan","None"
"53",49,46,5,NA,"upi-cvoter-25458","UPI/CVOTER",2016-09-05,2016-09-11,NA,"Likely Voters",1260,3,"Internet","Nonpartisan","None"
"54",43,44,NA,13,"morning-consult-25447","Morning Consult",2016-09-06,2016-09-08,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Likely Voters",1710,2,"Internet","Nonpartisan","None"
"55",38,40,11,11,"ipsos-reuters-25441","Ipsos/Reuters",2016-09-01,2016-09-05,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1084,NA,"Internet","Nonpartisan","None"
"56",47,49,5,NA,"upi-cvoter-25397","UPI/CVOTER",2016-08-29,2016-09-04,NA,"Likely Voters",1237,3,"Internet","Nonpartisan","None"
"57",42,48,NA,10,"nbc-surveymonkey-25341","NBC/SurveyMonkey",2016-08-29,2016-09-04,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",32226,1,"Internet","Nonpartisan","None"
"58",40,42,NA,18,"morning-consult-25336","Morning Consult",2016-09-01,2016-09-02,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",2001,2,"Internet","Nonpartisan","None"
"59",43,44,4,8,"ibd-tipp-25331","IBD/TIPP",2016-08-26,2016-09-01,"If the 2016 election for the President of United States were held today and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?","Registered Voters",887,3.4,"Live Phone","Nonpartisan","None"
"60",39,40,9,12,"ipsos-reuters-25305","Ipsos/Reuters",2016-08-25,2016-08-29,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1404,NA,"Internet","Nonpartisan","None"
"61",41,48,NA,11,"suffolk-usa-today-25319","Suffolk/USA Today",2016-08-24,2016-08-29,"If the general election was held today and the candidates were Democrat Hillary Clinton or Republican Donald Trump, for whom will you vote or lean toward?","Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
"62",47,50,3,NA,"upi-cvoter-25291","UPI/CVOTER",2016-08-22,2016-08-28,NA,"Likely Voters",1145,3,"Internet","Nonpartisan","None"
"63",42,48,NA,10,"nbc-surveymonkey-25289","NBC/SurveyMonkey",2016-08-22,2016-08-28,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",24104,1,"Internet","Nonpartisan","None"
"64",40,43,NA,17,"morning-consult-25276","Morning Consult",2016-08-24,2016-08-26,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",2007,2,"Internet","Nonpartisan","None"
"65",35,42,9,13,"ipsos-reuters-25260","Ipsos/Reuters",2016-08-20,2016-08-24,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1049,NA,"Internet","Nonpartisan","None"
"66",41,51,3,4,"quinnipiac-25263","Quinnipiac",2016-08-18,2016-08-24,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?","Likely Voters",1498,2.5,"Live Phone","Nonpartisan","None"
"67",47,48,5,NA,"upi-cvoter-25238","UPI/CVOTER",2016-08-15,2016-08-21,NA,"Likely Voters",1259,3,"Internet","Nonpartisan","None"
"68",42,50,NA,8,"nbc-surveymonkey-25235","NBC/SurveyMonkey",2016-08-15,2016-08-21,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",17459,1.1,"Internet","Nonpartisan","None"
"69",38,44,NA,18,"morning-consult-25218","Morning Consult",2016-08-18,2016-08-20,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",2001,2,"Internet","Nonpartisan","None"
"70",42,47,6,5,"arg-25231","ARG",2016-08-17,2016-08-20,"If the election for president were being held today between Hillary Clinton, the Democrat, and Donald Trump, the Republican, for whom would you vote - Clinton or Trump?","Registered Voters",994,3.2,"Live Phone","Nonpartisan","None"
"71",36,41,10,13,"ipsos-reuters-25213","Ipsos/Reuters",2016-08-13,2016-08-17,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1049,NA,"Internet","Nonpartisan","None"
"72",35,48,7,10,"public-religion-research-institute--25256","Public Religion Research Institute",2016-08-10,2016-08-16,NA,"Registered Voters",1630,2.9,"Live Phone","Nonpartisan","None"
"73",40,50,5,5,"normington-petts-associates-d-end-citizens-united--25217","Normington, Petts & Associates (D-End Citizens United)",2016-08-09,2016-08-15,"If the general election for President was held today and the candidates were: Democrat Hillary Clinton or Republican Donald Trump, for whom would you vote?","Likely Voters",1000,3.1,"Live Phone","Sponsor","Dem"
"74",37,44,NA,18,"morning-consult-25179","Morning Consult",2016-08-11,2016-08-14,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",2001,2,"Internet","Nonpartisan","None"
"75",45,51,5,NA,"upi-cvoter-25186","UPI/CVOTER",2016-08-08,2016-08-14,NA,"Likely Voters",975,3,"Internet","Nonpartisan","None"
"76",41,50,NA,8,"nbc-surveymonkey-25182","NBC/SurveyMonkey",2016-08-08,2016-08-14,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",15179,1.2,"Internet","Nonpartisan","None"
"77",36,42,10,12,"ipsos-reuters-25129","Ipsos/Reuters",2016-08-06,2016-08-10,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",974,NA,"Internet","Nonpartisan","None"
"78",39,45,3,12,"psrai-25137","PSRAI",2016-08-04,2016-08-07,NA,"Registered Voters",798,4.4,"Live Phone","Nonpartisan","None"
"79",44,49,7,NA,"upi-cvoter-25098","UPI/CVOTER",2016-08-01,2016-08-07,NA,"Likely Voters",960,3,"Internet","Nonpartisan","None"
"80",41,51,NA,8,"nbc-surveymonkey-25094","NBC/SurveyMonkey",2016-08-01,2016-08-07,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",11480,1.2,"Internet","Nonpartisan","None"
"81",37,46,NA,18,"morning-consult-25078","Morning Consult",2016-08-04,2016-08-05,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",2001,2,"Internet","Nonpartisan","None"
"82",44,51,3,1,"abc-post-25077","ABC/Post",2016-08-01,2016-08-04,"If the presidential election were held today and the candidates were (Hillary Clinton, the Democrat) and Donald Trump, (the Republican), for whom would you vote for?","Likely Voters",682,4,"Live Phone","Nonpartisan","None"
"83",39,46,5,11,"ibd-tipp-25071","IBD/TIPP",2016-07-29,2016-08-04,"If the 2016 election for the President of United States were held today and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?","Registered Voters",851,3.4,"Live Phone","Nonpartisan","None"
"84",33,48,14,5,"mcclatchy-marist-25067","McClatchy/Marist",2016-08-01,2016-08-03,"If November's presidential election were held today, whom would you support if the candidates are:","Registered Voters",983,3.1,"Live Phone","Nonpartisan","None"
"85",38,47,11,4,"nbc-wsj-25068","NBC/WSJ",2016-07-31,2016-08-03,"If the next election for president were held today, with (ROTATE) … Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?","Registered Voters",800,3.46,"Live Phone","Nonpartisan","None"
"86",39,43,9,10,"ipsos-reuters-25063","Ipsos/Reuters",2016-07-30,2016-08-03,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1072,NA,"Internet","Nonpartisan","None"
"87",39,49,5,8,"fox-25054","FOX",2016-07-31,2016-08-02,NA,"Registered Voters",1022,3,"Live Phone","Nonpartisan","None"
"88",43,52,5,0,"cnn-25037","CNN",2016-07-29,2016-07-31,"Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?","Registered Voters",894,3.5,"Live Phone","Nonpartisan","None"
"89",41,47,3,10,"cbs-25024","CBS",2016-07-29,2016-07-31,"f the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump? (IF DEPENDS OR DON’T KNOW):Well as of today, do you lean more toward Hillary Clinton or more toward Donald Trump?","Registered Voters",1131,NA,"Live Phone","Nonpartisan","None"
"90",46,49,5,NA,"upi-cvoter-25060","UPI/CVOTER",2016-07-25,2016-07-31,NA,"Likely Voters",989,3,"Internet","Nonpartisan","None"
"91",42,50,NA,8,"nbc-surveymonkey-25039","NBC/SurveyMonkey",2016-07-25,2016-07-31,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",12742,1.2,"Internet","Nonpartisan","None"
"92",40,43,NA,17,"morning-consult-25023","Morning Consult",2016-07-29,2016-07-30,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",1931,2,"Internet","Nonpartisan","None"
"93",35,40,8,17,"ipsos-reuters-25002","Ipsos/Reuters",2016-07-25,2016-07-29,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Likely Voters",1050,NA,"Internet","Nonpartisan","None"
"94",42,43,10,4,"rasmussen-24988","Rasmussen",2016-07-26,2016-07-27,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump or Democrat Hillary Clinton?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
"95",44,43,4,10,"cbs-24956","CBS",2016-07-22,2016-07-24,"f the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump? (IF DEPENDS OR DON’T KNOW):Well as of today, do you lean more toward Hillary Clinton or more toward Donald Trump?","Registered Voters",1118,4,"Live Phone","Nonpartisan","None"
"96",48,45,6,1,"cnn-24955","CNN",2016-07-22,2016-07-24,"Suppose that the presidential election were being held today and you had to choose between Hillary Clinton as the Democratic Party’s candidate, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?","Registered Voters",882,3.5,"Live Phone","Nonpartisan","None"
"97",44,40,NA,16,"morning-consult-24954","Morning Consult",2016-07-22,2016-07-24,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",2502,2,"Internet","Nonpartisan","None"
"98",42,46,4,8,"university-of-delaware-psrai-24970","University of Delaware/PSRAI",2016-07-21,2016-07-24,"Now, suppose the 2016 presidential election were being held TODAY. If you had to choose between [READ AND RANDOMIZE CLINTON/TRUMP] who would you vote for?","Registered Voters",818,NA,"Live Phone","Nonpartisan","None"
"99",45,46,NA,9,"nbc-surveymonkey-24964","NBC/SurveyMonkey",2016-07-18,2016-07-24,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",12931,1.2,"Internet","Nonpartisan","None"
"100",51,49,NA,NA,"gravis-marketing-oann-24953","Gravis Marketing/OANN",2016-07-21,2016-07-22,NA,"Registered Voters",3462,1.7,"Automated Phone","Sponsor","Rep"
"101",42,43,6,9,"arg-24947","ARG",2016-07-17,2016-07-20,"If the election for president were being held today between Hillary Clinton, the Democrat, and Donald Trump, the Republican, for whom would you vote - Clinton or Trump?","Registered Voters",990,3.2,"Live Phone","Nonpartisan","None"
"102",36,40,13,11,"ipsos-reuters-24949","Ipsos/Reuters",2016-07-16,2016-07-20,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?","Registered Voters",1232,NA,"Internet","Nonpartisan","None"
"103",43,42,11,4,"rasmussen-24946","Rasmussen",2016-07-18,2016-07-19,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump or Democrat Hillary Clinton?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
"104",45,46,NA,9,"nbc-surveymonkey-24929","NBC/SurveyMonkey",2016-07-11,2016-07-17,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?","Registered Voters",9436,1.4,"Internet","Nonpartisan","None"
"105",39,41,NA,20,"morning-consult-24914","Morning Consult",2016-07-14,2016-07-16,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?","Registered Voters",2002,NA,"Internet","Nonpartisan","None"
"106",42,49,8,1,"cnn-24908","CNN",2016-07-13,2016-07-16,"Suppose that the presidential election were being held today and you had to choose between Hillary Clinton as the Democratic Party’s candidate, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?","Registered Voters",872,3.5,"Live Phone","Nonpartisan","None"
"107",41,46,NA,13,"icitizen-24935","ICITIZEN",2016-07-12,2016-07-15,"If the November 2016 general election for U.S. President were held today and these were the candidates, for whom would you vote?","Registered Voters",1000,NA,"Internet","Nonpartisan","None"
"108",43,47,8,2,"abc-post-24904","ABC/Post",2016-07-11,2016-07-14,"If the presidential election were held today and the candidates were (Hillary Clinton, the Democrat) and Donald Trump, (the Republican), for whom would you vote for?","Registered Voters",816,4,"Live Phone","Nonpartisan","None"
"109",44,37,13,6,"rasmussen-24884","Rasmussen",2016-07-12,2016-07-13,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump or Democrat Hillary Clinton?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
"110",41,46,9,4,"nbc-wsj-24903","NBC/WSJ",2016-07-09,2016-07-13,"And, if the election for president were held today, and Donald Trump were the Republican candidate, and Hillary Clinton were the Democratic candidate for whom would you vote?","Registered Voters",1000,3.1,"Live Phone","Nonpartisan","None"
"111",40,40,4,15,"cbs-times-24883","CBS/Times",2016-07-08,2016-07-12,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump?","Registered Voters",1358,NA,"Live Phone","Nonpartisan","None"
"112",41,42,NA,18,"morning-consult-24853","Morning Consult",2016-07-08,2016-07-10,NA,"Registered Voters",2001,2,"Internet","Nonpartisan","None"
"113",44,47,NA,10,"nbc-surveymonkey-24859","NBC/SurveyMonkey",2016-07-04,2016-07-10,NA,"Registered Voters",7869,1.4,"Internet","Nonpartisan","None"
"114",39,42,14,4,"mcclatchy-marist-24872","McClatchy/Marist",2016-07-05,2016-07-09,"If November's presidential election were held today, whom would you support if the candidates are:","Registered Voters",1053,3,"Live Phone","Nonpartisan","None"
"115",33,44,12,11,"ipsos-reuters-24829","Ipsos/Reuters",2016-07-02,2016-07-06,NA,"Registered Voters",1345,NA,"Internet","Nonpartisan","None"
"116",40,41,NA,19,"morning-consult-24822","Morning Consult",2016-06-30,2016-07-04,NA,"Registered Voters",2001,2,"Internet","Nonpartisan","None"
"117",43,48,NA,9,"nbc-surveymonkey-24814","NBC/SurveyMonkey",2016-06-27,2016-07-03,NA,"Registered Voters",10072,1.3,"Internet","Nonpartisan","None"
"118",43,39,12,5,"rasmussen-24800","Rasmussen",2016-06-28,2016-06-29,NA,"Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
"119",40,46,NA,14,"suffolk-usa-today-24813","Suffolk/USA Today",2016-06-26,2016-06-29,NA,"Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
"120",32,42,14,12,"ipsos-reuters-24802","Ipsos/Reuters",2016-06-25,2016-06-29,NA,"Registered Voters",1247,NA,"Internet","Nonpartisan","None"
"121",40,44,9,7,"ibd-tipp-24805","IBD/TIPP",2016-06-24,2016-06-29,NA,"Registered Voters",837,NA,"Live Phone","Nonpartisan","None"
"122",46,50,4,NA,"gravis-marketing-oann-24815","Gravis Marketing/OANN",2016-06-27,2016-06-28,NA,"Registered Voters",2162,2.1,"Automated Phone","Sponsor","Rep"
"123",38,44,7,10,"fox-24803","FOX",2016-06-26,2016-06-28,NA,"Registered Voters",1017,3,"Live Phone","Nonpartisan","None"
"124",39,44,NA,18,"morning-consult-24776","Morning Consult",2016-06-24,2016-06-27,NA,"Registered Voters",4001,2,"Internet","Nonpartisan","None"
"125",40,42,6,12,"quinnipiac-24794","Quinnipiac",2016-06-21,2016-06-27,NA,"Registered Voters",1610,2.4,"Live Phone","Nonpartisan","None"
"126",41,49,NA,10,"nbc-surveymonkey-24791","NBC/SurveyMonkey",2016-06-20,2016-06-26,NA,"Registered Voters",5818,1.8,"Internet","Nonpartisan","None"
"127",39,51,8,2,"abc-post-24764","ABC/Post",2016-06-20,2016-06-23,NA,"Registered Voters",836,4,"Live Phone","Nonpartisan","None"
"128",41,46,11,2,"nbc-wsj-24765","NBC/WSJ",2016-06-19,2016-06-23,NA,"Registered Voters",1000,3.1,"Live Phone","Nonpartisan","None"
"129",34,44,13,10,"ipsos-reuters-24752","Ipsos/Reuters",2016-06-18,2016-06-22,NA,"Registered Voters",1339,NA,"Internet","Nonpartisan","None"
